3d Incubation (from  Lower CI),Upper Bound ,5 day incubation,Lower CI, 7d incubation ,Day,3 day Incubation (from  Lower CI),Best Case,5 day incubation,Worst Case, 7 day Incubation 
1,1,1,1,1,0,1,1,1,1,1
0.977,1,1,1,1,1,0.977,1,1,1,1
0.71,0.96,1,1,1,2,0.71,0.96,1,1,1
0.387,0.588,0.977,0.999,1,3,0.387,0.588,0.977,0.999,1
0.248,0.296,0.71,0.941,1,4,0.248,0.296,0.71,0.941,1
0.201,0.184,0.387,0.646,0.999,5,0.184,0.184,0.387,0.646,0.999
0.191,0.14,0.248,0.399,0.941,6,0.14,0.14,0.248,0.399,0.941
,0.125,0.201,0.31,0.646,7,0.125,0.125,0.201,0.31,0.646
,0.12,0.191,0.291,0.399,8,0.12,0.12,0.191,0.291,0.399
,0.128,0.2,0.302,0.31,9,0.128,0.128,0.2,0.302,0.31
,0.145,0.221,0.327,0.291,10,0.145,0.145,0.221,0.327,0.327
,0.167,0.25,0.36,,11,0.167,0.167,0.25,0.36,0.36
,0.195,0.286,0.401,,12,0.195,0.195,0.286,0.401,0.401
,0.226,0.325,0.444,,13,0.226,0.226,0.325,0.444,0.444
,0.262,0.368,0.49,,14,0.262,0.262,0.368,0.49,0.49
,0.3,0.412,0.536,,15,0.3,0.3,0.412,0.536,0.536
,0.338,0.455,0.58,,16,0.338,0.338,0.455,0.58,0.58
,0.376,0.496,0.621,,17,0.376,0.376,0.496,0.621,0.621
,0.412,0.535,0.657,,18,0.412,0.412,0.535,0.657,0.657
,0.446,0.57,0.689,,19,0.446,0.446,0.57,0.689,0.689
,0.478,0.602,0.716,,20,0.478,0.478,0.602,0.716,0.716
0,0.508,0.63,0.742,,21,0.508,0.508,0.63,0.742,0.742